ID_Alumno,Universidad,Carrera,Edad,Genero,Anio_Cursada,Horas_Estudio_Semanal,Asistencia_Porcentaje,Trabaja,Promedio_Academico,Materias_Aprobadas,Materias_Recursadas,Satisfaccion_Carrera,Indice_Permanencia
1,UNC,Medicina,27,Otro,6,25,91.5,Si,10.0,32,5,6.4,100.0
2,UBA,Economía,24,Otro,2,13,90.2,No,7.1,7,2,5.6,100.0
3,UNSAM,Medicina,25,F,5,15,67.8,Si,7.6,38,1,6.1,99.1
4,UNLaM,Derecho,25,Otro,3,11,92.5,Si,7.8,21,3,5.8,100.0
5,UNLaM,Derecho,18,F,5,16,93.7,Si,7.5,29,1,6.1,100.0
6,UNLP,Psicología,25,Otro,1,6,60.2,Si,8.2,7,1,7.7,100.0
7,UNLaM,Medicina,27,Otro,6,26,89.9,No,10.0,36,2,8.3,100.0
8,UNLaM,Economía,18,M,4,19,100.0,No,10.0,22,5,5.3,100.0
10,UNLP,Psicología,24,F,2,13,75.3,No,9.5,11,6,5.5,100.0
11,UBA,Medicina,36,Otro,6,29,74.5,No,9.4,46,1,7.6,100.0
12,UBA,Ciencia De Datos,28,F,4,19,79.9,Si,8.4,24,4,4.7,100.0
13,UNLaM,Ingeniería,17,Otro,3,23,71.4,No,10.0,16,0,9.7,100.0
14,UNLP,Economía,18,F,6,25,71.9,No,10.0,46,0,9.0,100.0
15,UTN,Psicología,31,Otro,5,16,99.0,Si,10.0,27,4,6.4,100.0
16,UTN,Ingeniería,19,F,3,16,66.9,No,9.3,20,1,8.5,100.0
17,UTN,Psicología,28,F,1,6,91.0,Si,6.3,6,0,5.4,100.0
18,UNLaM,Derecho,22,Otro,1,3,78.6,Si,7.4,8,1,7.4,100.0
19,UNLaM,Ingeniería,32,M,1,5,73.6,No,8.6,2,2,7.4,100.0
20,UNLP,Derecho,27,M,6,14,84.5,Si,8.0,31,4,4.8,98.5
21,UNLP,Ciencia De Datos,19,F,4,12,77.1,Si,8.2,22,2,5.5,100.0
22,UNSAM,Ingeniería,23,F,5,14,100.0,Si,8.4,34,2,6.7,100.0
23,UNSAM,Psicología,29,M,4,9,93.7,Si,8.8,20,1,7.8,100.0
24,UNLP,Medicina,28,M,6,19,71.9,No,10.0,33,3,6.5,100.0
25,UNSAM,Economía,17,M,6,20,85.7,No,7.6,31,4,4.7,95.3
26,UBA,Ingeniería,30,Otro,4,23,100.0,No,10.0,23,3,7.6,100.0
27,UNLaM,Ingeniería,18,Otro,1,11,88.5,Si,9.8,2,1,7.9,100.0
28,UNC,Psicología,21,Otro,5,18,95.8,Si,10.0,37,3,7.3,100.0
29,UNC,Derecho,32,M,5,12,56.3,Si,8.2,28,2,6.6,87.8
30,UNSAM,Derecho,28,M,4,26,51.4,Si,10.0,21,0,9.5,100.0
31,UNSAM,Psicología,27,M,1,6,81.0,Si,8.2,3,0,6.5,100.0
32,UNC,Psicología,28,Otro,3,9,79.0,Si,6.1,17,0,6.4,100.0
33,UBA,Ingeniería,27,Otro,3,21,69.4,No,10.0,16,2,7.6,100.0
34,UNSAM,Medicina,27,Otro,4,15,74.5,Si,7.6,28,1,5.6,94.0
35,UNSAM,Medicina,30,Otro,4,17,100.0,No,9.2,26,1,7.0,100.0
36,UNLP,Medicina,21,M,5,23,62.3,No,10.0,33,4,6.1,100.0
37,UNLP,Derecho,23,Otro,1,13,80.2,No,8.6,1,1,6.4,100.0
38,UNLaM,Ciencia De Datos,23,F,6,17,93.4,Si,8.7,39,3,5.7,100.0
39,UBA,Economía,25,F,4,17,79.9,No,8.2,27,2,6.8,100.0
40,UNLaM,Economía,24,M,1,2,70.0,No,7.6,8,1,6.5,88.9
41,UNLaM,Medicina,24,M,2,20,96.0,Si,10.0,10,0,8.8,100.0
42,UNLP,Ingeniería,23,M,5,17,98.2,Si,9.6,30,0,8.3,100.0
43,UNSAM,Medicina,21,Otro,3,17,59.6,No,7.6,17,3,5.2,100.0
44,UTN,Ingeniería,22,Otro,2,13,80.6,Si,6.8,12,4,5.5,90.1
